Peak,strength,TCF1,TCF1-0,CTCF,CTCF-1,Elf4,Elf4-2,TSS,CTCF-2,Elf4-1,CTCF-0,Elf4-0,CTCF-3,Elf4-3,TCF1-1,TCF1-2,TCF1-3
MACS_peak_16657,22.46,1,0.0,2,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16658,14.92,0,1.0,5,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16659,7.66,1,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_1666,8.09,0,1.0,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16660,7.99,1,0.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16661,34.13,0,1.0,3,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16662,22.64,1,0.0,2,0.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16663,12.41,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16664,6.12,0,1.0,2,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16665,10.55,0,1.0,2,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16666,16.60,0,1.0,2,0.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16667,4.40,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16668,19.37,2,0.0,2,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16669,7.33,3,0.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_1667,71.51,0,1.0,0,0.0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
MACS_peak_16670,12.31,1,0.0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16671,6.46,0,1.0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16672,7.27,2,0.0,2,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16673,6.56,0,1.0,2,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16674,41.70,1,0.0,2,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16675,5.27,0,1.0,1,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16676,5.29,2,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16677,18.12,1,0.0,2,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16678,7.29,0,1.0,0,0.0,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16679,7.33,0,1.0,2,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_1668,21.58,1,0.0,3,0.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16680,7.74,0,1.0,0,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16681,35.15,0,1.0,4,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16682,28.97,1,0.0,2,0.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
